Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
AT1G01060	MYB_related	MP00119	Arabidopsis thaliana	DAP	PMID:27203113	AT1G01060
AT1G01250	ERF	MP00120	Arabidopsis thaliana	DAP	PMID:27203113	AT1G01250
AT1G01260	bHLH	MP00100	Arabidopsis thaliana	PBM	PMID:26531826	MA0958.1
AT1G01720	NAC	MP00121	Arabidopsis thaliana	DAP	PMID:27203113	AT1G01720
AT1G02065	SBP	MP00090	Arabidopsis thaliana	SELEX	PMID:26531826	MA0578.1
AT1G02230	NAC	MP00122	Arabidopsis thaliana	DAP	PMID:27203113	AT1G02230
AT1G02250	NAC	MP00123	Arabidopsis thaliana	DAP	PMID:27203113	AT1G02250
AT1G03800	ERF	MP00124	Arabidopsis thaliana	DAP	PMID:27203113	AT1G03800
AT1G03840	C2H2	MP00125	Arabidopsis thaliana	DAP	PMID:27203113	AT1G03840
AT1G06070	bZIP	MP00126	Arabidopsis thaliana	DAP	PMID:27203113	AT1G06070
AT1G06160	ERF	MP00023	Arabidopsis thaliana	PBM	PMID:25215497	M0005_1.02
AT1G06180	MYB	MP00127	Arabidopsis thaliana	DAP	PMID:27203113	AT1G06180
AT1G06280	LBD	MP00128	Arabidopsis thaliana	DAP	PMID:27203113	AT1G06280
AT1G06850	bZIP	MP00129	Arabidopsis thaliana	DAP	PMID:27203113	AT1G06850
AT1G08000	GATA	MP00047	Arabidopsis thaliana	PBM	PMID:25215497	M0758_1.02
AT1G08010	GATA	MP00130	Arabidopsis thaliana	DAP	PMID:27203113	AT1G08010
AT1G08320	bZIP	MP00131	Arabidopsis thaliana	DAP	PMID:27203113	AT1G08320
AT1G08810	MYB	MP00132	Arabidopsis thaliana	DAP	PMID:27203113	AT1G08810
AT1G09030	NF-YB	MP00133	Arabidopsis thaliana	DAP	PMID:27203113	AT1G09030
AT1G09530	bHLH	MP00081	Arabidopsis thaliana	ChIP-seq	PMID:26531826	MA0560.1
AT1G09540	MYB	MP00134	Arabidopsis thaliana	DAP	PMID:27203113	AT1G09540
AT1G09770	MYB	MP00028	Arabidopsis thaliana	SELEX	PMID:16381825	M00361
AT1G10120	bHLH	MP00135	Arabidopsis thaliana	DAP	PMID:27203113	AT1G10120
AT1G12260	NAC	MP00136	Arabidopsis thaliana	DAP	PMID:27203113	AT1G12260
AT1G12610	ERF	MP00137	Arabidopsis thaliana	DAP	PMID:27203113	AT1G12610
AT1G12630	ERF	MP00138	Arabidopsis thaliana	DAP	PMID:27203113	AT1G12630
AT1G13260	RAV	MP00139	Arabidopsis thaliana	DAP	PMID:27203113	AT1G13260
AT1G13300	G2-like	MP00140	Arabidopsis thaliana	DAP	PMID:27203113	AT1G13300
AT1G13450	Trihelix	MP00141	Arabidopsis thaliana	DAP	PMID:27203113	AT1G13450
AT1G14580	C2H2	MP00142	Arabidopsis thaliana	DAP	PMID:27203113	AT1G14580
