BGC ID	BGC type	detection rules used	BGC_range	genes	subclusters	NRPSs/PKSs	signature_genes	RiPPs	predicted structure	monomers
NC_029683_c21	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	347662;461007	XP_015881569.1;XP_015881568.1;XP_015881540.1;XP_015881551.1;XP_015881556.1;XP_015881542.1;XP_015881553.1;XP_015881543.1;XP_015881544.1;XP_015881558.1;XP_015881550.1;XP_015881545.1			XP_015881551;XP_015881553;XP_015881543;XP_015881544;XP_015881558;XP_015881550	-		N/A
NC_029683_c22	terpene;saccharide;polyketide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	2309603;2455629	XP_015881696.1;XP_015881659.1;XP_015881796.1;XP_015881764.1;XP_015881763.1;XP_015881762.1;XP_015881660.1;XP_015881721.1;XP_015881722.1;XP_015881720.1;XP_015881718.1;XP_015881717.1;XP_015881716.1;XP_015881661.1;XP_015881751.1;XP_015881662.1;XP_015881663.1;XP_015881738.1;XP_015881792.1;XP_015881793.1;XP_015881728.1;XP_015881725.1;XP_015881726.1;XP_015881727.1;XP_015881665.1;XP_015881666.1;XP_015881797.1;XP_015881740.1			XP_015881763;XP_015881751;XP_015881663;XP_015881665;XP_015881666	-		N/A
NC_029683_c23	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	2701974;2780419	XP_015881675.1;XP_015881676.1;XP_015881677.1;XP_015881678.1;XP_015881679.1;XP_015881680.1;XP_015881682.1;XP_015881683.1;XP_015881700.1;XP_015881705.1;XP_015881704.1;XP_015881699.1;XP_015881703.1			XP_015881676;XP_015881677;XP_015881678;XP_015881679;XP_015881680;XP_015881682;XP_015881683;XP_015881699	-		N/A
NC_029683_c24	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	6936869;7113964	XP_015882173.1;XP_015882193.1;XP_015882194.1;XP_015882195.1;XP_015882151.1;XP_015882150.1;XP_015882227.1;XP_015882237.1;XP_015882201.1;XP_015882202.1;XP_015882203.1;XP_015882205.1;XP_015882224.1;XP_015882238.1;XP_015882206.1			XP_015882173;XP_015882237;XP_015882203;XP_015882205;XP_015882224;XP_015882238	-		N/A
NC_029683_c25	cyclopeptide	"plants/cyclopeptide: (BURP);"	10052144;10623214	XP_015882556.1;XP_015882557.1;XP_015882558.1;XP_015882559.1;XP_015882562.1;XP_015882560.1;XP_015882561.1;XP_015882563.1;XP_015882564.1;XP_015882552.1;XP_015882554.1;XP_015882555.1;XP_015882544.1;XP_015882570.1;XP_015882571.1;XP_015882583.1;XP_015882582.1;XP_015882581.1;XP_015882577.1;XP_015882574.1;XP_015882593.1;XP_015882591.1;XP_015882589.1;XP_015882590.1;XP_015882580.1;XP_015882572.1;XP_015882588.1;XP_015882587.1;XP_015882576.1;XP_015882592.1;XP_015882585.1;XP_015882584.1;XP_015882573.1;XP_015882597.1;XP_015882594.1;XP_015882595.1;XP_015882596.1;XP_015882569.1;XP_015882578.1;XP_015882579.1;XP_015882618.1;XP_015882612.1;XP_015882613.1;XP_015882614.1;XP_015882615.1;XP_015882611.1;XP_015882608.1;XP_015882605.1;XP_015882622.1;XP_015882601.1;XP_015882610.1;XP_015882609.1;XP_015882620.1;XP_015882619.1;XP_015882599.1;XP_015882604.1;XP_015882621.1;XP_015882607.1;XP_015882602.1;XP_015882616.1;XP_015882603.1;XP_015882623.1;XP_015882661.1;XP_015882646.1;XP_015882647.1;XP_015882648.1;XP_015882633.1;XP_015882624.1;XP_015882625.1;XP_015882630.1;XP_015882652.1;XP_015882653.1;XP_015882626.1			XP_015882578;XP_015882579	-		N/A
NC_029683_c26	saccharide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	12773137;13281849	XP_015882832.1;XP_015882833.1;XP_015882834.1;XP_015882806.1;XP_015882807.1;XP_015882808.1;XP_015882809.1;XP_015882810.1;XP_015882811.1;XP_015882812.1;XP_015882813.1;XP_015882815.1;XP_015882816.1;XP_015882817.1;XP_015882836.1;XP_015882837.1;XP_015882818.1;XP_015882840.1;XP_015882819.1;XP_015882839.1;XP_015882831.1;XP_015882820.1;XP_015882822.1;XP_015882823.1;XP_015882824.1;XP_015882825.1;XP_015882826.1;XP_015882838.1;XP_015882835.1			XP_015882832;XP_015882833;XP_015882834;XP_015882806;XP_015882807;XP_015882809;XP_015882810;XP_015882811;XP_015882812;XP_015882813;XP_015882815;XP_015882817;XP_015882836;XP_015882837;XP_015882818;XP_015882840;XP_015882819;XP_015882839;XP_015882831;XP_015882820;XP_015882822;XP_015882823;XP_015882824;XP_015882825;XP_015882826;XP_015882835	-		N/A
NC_029683_c27	saccharide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	20127198;20549966	XP_015883262.1;XP_015883265.1;XP_015883266.1;XP_015883268.1;XP_015883269.1;XP_015883270.1;XP_015883272.1			XP_015883265;XP_015883266;XP_015883268;XP_015883270;XP_015883272	-		N/A
NC_029683_c28	cyclopeptide	"plants/cyclopeptide: (BURP);"	26903116;27628051	XP_015883584.1;XP_015883596.1;XP_015883585.1;XP_015883617.1;XP_015883586.1;XP_015883624.1;XP_015883625.1;XP_015883626.1;XP_015883627.1;XP_015883599.1;XP_015883600.1;XP_015883603.1;XP_015883604.1;XP_015883613.1;XP_015883610.1;XP_015883611.1;XP_015883612.1;XP_015883614.1;XP_015883587.1;XP_015883597.1;XP_015883594.1;XP_015883595.1;XP_015883607.1;XP_015883609.1;XP_015883606.1;XP_015883631.1;XP_015883632.1;XP_015883634.1;XP_015883637.1;XP_015883635.1;XP_015883636.1;XP_015883650.1;XP_015883651.1;XP_015883638.1;XP_015883639.1;XP_015883640.1;XP_015883652.1;XP_015883653.1;XP_015883642.1;XP_015883643.1;XP_015883644.1;XP_015883654.1;XP_015883656.1;XP_015883645.1;XP_015883655.1;XP_015883647.1;XP_015883659.1;XP_015883648.1;XP_015883660.1;XP_015883661.1;XP_015883662.1;XP_015883676.1;XP_015883663.1;XP_015883680.1;XP_015883684.1;XP_015883683.1;XP_015883679.1;XP_015883686.1;XP_015883685.1;XP_015883664.1;XP_015883682.1;XP_015883681.1;XP_015883665.1;XP_015883666.1			XP_015883654;XP_015883659	-		N/A
NC_029683_c29	cyclopeptide	"plants/cyclopeptide: (BURP);"	27047305;27852222	XP_015883631.1;XP_015883632.1;XP_015883634.1;XP_015883637.1;XP_015883635.1;XP_015883636.1;XP_015883650.1;XP_015883651.1;XP_015883638.1;XP_015883639.1;XP_015883640.1;XP_015883652.1;XP_015883653.1;XP_015883642.1;XP_015883643.1;XP_015883644.1;XP_015883654.1;XP_015883656.1;XP_015883645.1;XP_015883655.1;XP_015883647.1;XP_015883659.1;XP_015883648.1;XP_015883660.1;XP_015883661.1;XP_015883662.1;XP_015883676.1;XP_015883663.1;XP_015883680.1;XP_015883684.1;XP_015883683.1;XP_015883679.1;XP_015883686.1;XP_015883685.1;XP_015883664.1;XP_015883682.1;XP_015883681.1;XP_015883665.1;XP_015883666.1;XP_015883668.1;XP_015883672.1;XP_015883673.1;XP_015883674.1;XP_015883688.1;XP_015883669.1;XP_015883675.1;XP_015883670.1;XP_015883687.1;XP_015883678.1;XP_015883677.1;XP_015883671.1;XP_015883690.1;XP_015883691.1			XP_015883654;XP_015883659	-		N/A
NC_029683_c30	cyclopeptide	"plants/cyclopeptide: (BURP);"	28184372;28420231	XP_015883719.1;XP_015883720.1;XP_015883713.1;XP_015883769.1;XP_015883771.1;XP_015883772.1;XP_015883773.1;XP_015883766.1;XP_015883767.1;XP_015883722.1;XP_015883765.1;XP_015883768.1;XP_015883723.1;XP_015883725.1;XP_015883755.1;XP_015883754.1;XP_015883764.1;XP_015883726.1;XP_015883727.1;XP_015883761.1;XP_015883762.1;XP_015883756.1;XP_015883757.1;XP_015883758.1;XP_015883760.1;XP_015883728.1;XP_015883729.1;XP_015883775.1;XP_015883776.1;XP_015883774.1;XP_015883763.1;XP_015883730.1;XP_015883731.1;XP_015883732.1			XP_015883725	-		N/A
