BGC ID	BGC type	detection rules used	BGC_range	genes	subclusters	NRPSs/PKSs	signature_genes	RiPPs	predicted structure	monomers
CM001217_c1	cyclopeptide	"plants/cyclopeptide: (BURP);"	263065;577415	AES58694.2;AES58695.1;AES58696.2;KEH39716.1;KEH39717.1;AES58698.2;KEH39718.1;AES58699.1;AES58700.1;KEH39719.1;AES58701.1;KEH39720.1;AES58702.1;AES58704.1;AES58705.1;KEH39721.1;AES58706.1;AES58707.1;AES58708.1;AES58709.1;AES58711.1;AES58712.2;AES58714.2;AES58715.1;AES58716.1;AES58717.2;AES58720.1;AES58723.1;AES58721.1;AES58724.1;AES58725.1;AES58726.1;KEH39722.1;KEH39724.1;AES58727.2;KEH39725.1;KEH39723.1;KEH39726.1;AES58728.1;AES58729.1;AES58731.1;AES58733.2;AES58734.2;AES58735.1;AES58738.1;AES58742.1;AES58743.1			AES58715	-		N/A
CM001217_c2	cyclopeptide	"plants/cyclopeptide: (BURP);"	721717;1154322	AES58769.1;AES58770.1;AES58772.1;KEH39734.1;KEH39732.1;AES58773.1;KEH39733.1;KEH39735.1;KEH39731.1;AES58774.1;AES58775.1;KEH39736.1;AES58776.2;KEH39737.1;AES58778.1;AES58779.2;KEH39738.1;AES58780.1;AES58781.1;AES58785.2;AES58784.1;KEH39739.1;AES58786.2;AES58787.2;AES58788.2;AES58790.1;AES58791.1;AES58792.1;AES58793.1;AES58794.1;AES58795.1;AES58796.2;AES58797.1;AES58799.1;AES58800.2;AES58801.2;AES58802.1;AES58803.1;AES58805.2;AES58807.1;KEH39740.1;AES58809.2;AES58810.1;AES58811.2;AES58812.1;AES58813.1;AES58814.2;AES58815.1;KEH39741.1;AES58819.1;AES58818.1;KEH39742.1;AES58822.2;AES58823.1;AES58825.1;KEH39743.1;KEH39744.1;KEH39745.1;AES58837.1;AES58838.1;AES58840.1;AES58842.2;AES58844.1;AES58845.2;AES58846.1;AES58848.2;AES58849.1;AES58850.1;AES58852.1			AES58797;AES58799;AES58800;AES58801;AES58802;AES58803;AES58805;AES58807;AES58809;AES58810	-		N/A
CM001217_c3	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	13051658;13285353	KEH40817.1;KEH40818.1;KEH40819.1;KEH40820.1;KEH40821.1;KEH40822.1;KEH40823.1;KEH40824.1;KEH40825.1;KEH40826.1;KEH40827.1;KEH40828.1;KEH40829.1;KEH40830.1;KEH40831.1;KEH40832.1;KEH40833.1;KEH40834.1;KEH40835.1;KEH40836.1;KEH40837.1;KEH40838.1;KEH40839.1;KEH40840.1;KEH40841.1;KEH40842.1;KEH40844.1;KEH40843.1			KEH40818;KEH40819;KEH40821;KEH40822;KEH40823;KEH40826;KEH40827;KEH40828;KEH40830;KEH40835;KEH40836;KEH40839;KEH40842	-		N/A
CM001217_c4	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	14855608;14949697	KEH40975.1;KEH40976.1;KEH40977.1;KEH40978.1;KEH40979.1;KEH40980.1;KEH40981.1;KEH40982.1;KEH40983.1;KEH40984.1;KEH40985.1;KEH40986.1			KEH40975;KEH40976;KEH40977;KEH40983	-		N/A
CM001217_c5	cyclopeptide	"plants/cyclopeptide: (BURP);"	17092551;17424391	AES60429.1;AES60430.1;AES60432.2;KEH41164.1;AES60433.1;KEH41165.1;AES60434.2;AES60435.1;AES60437.1;AES60438.1;AES60440.1;AES60441.1;AES60442.1;AES60443.1;AES60444.1;AES60445.1;AES60446.1;AES60447.1;AES60450.2;AES60451.1;AES60452.1;AES60453.2;AES60454.1;KEH41166.1;AES60455.1;AES60456.1;AES60457.2;AES60458.1;AES60459.1;AES60461.1;AES60462.1;AES60463.2;AES60464.1;AES60466.1;KEH41167.1;KEH41168.1;KEH41169.1;KEH41170.1;KEH41171.1;KEH41172.1;KEH41173.1;KEH41174.1;KEH41175.1;KEH41176.1;KEH41177.1;KEH41178.1			AES60451	-		N/A
CM001217_c6	lignan	"plants/lignan: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Dirigent]));"	17641091;17665337	KEH41216.1;KEH41217.1;KEH41218.1;KEH41219.1;KEH41220.1;KEH41221.1;KEH41222.1			KEH41218;KEH41219;KEH41221	-		N/A
CM001217_c7	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	46093868;46175920	AES62614.2;AES62615.1;AES62616.1;AES62617.2;AES62618.2;AES62619.1;AES62621.1;AES62622.1;AES62624.2;AES62625.1;AES62626.2;AES62627.1;AES62628.1;AES62629.1			AES62614;AES62618;AES62621;AES62622;AES62626;AES62627	-		N/A
CM001217_c8	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	47212872;47343555	AES62671.1;AES62673.1;AES62676.1;AES62675.1;KEH43896.1;AES62677.1;AES62678.2;AES62679.2;AES62680.1;KEH43897.1;AES62681.1;AES62682.1;AES62683.1;AES62684.2;KEH43898.1;AES62685.2;AES62686.1;AES62687.1;AES62689.2;KEH43899.1;KEH43900.1;AES62690.1;AES62691.1;AES62692.1;AES62693.1;AES62694.1;AES62695.1;AES62696.1;AES62697.2;AES62699.1;AES62700.1			AES62675;AES62684;AES62689;KEH43899;AES62697	-		N/A
CM001217_c9	saccharide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	48533352;48681462	KEH44069.1;KEH44068.1;KEH44070.1;KEH44071.1;KEH44072.1;KEH44073.1;KEH44074.1;KEH44075.1;KEH44076.1;KEH44077.1;KEH44078.1;KEH44079.1;KEH44080.1;KEH44082.1;KEH44081.1;KEH44083.1;KEH44084.1;KEH44085.1;KEH44086.1;KEH44087.1;KEH44088.1;KEH44089.1;KEH44090.1;KEH44091.1			KEH44070;KEH44073;KEH44074;KEH44075;KEH44076;KEH44078;KEH44080;KEH44083;KEH44084;KEH44086;KEH44087;KEH44089;KEH44090	-		N/A
CM001217_c10	terpene	"plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	50195379;50272412	KEH44237.1;KEH44238.1;KEH44242.1;KEH44241.1;KEH44239.1;KEH44240.1;KEH44244.1;KEH44243.1;KEH44245.1;KEH44246.1;KEH44247.1;KEH44248.1;KEH44249.1;KEH44250.1;KEH44251.1			KEH44242;KEH44247;KEH44251	-		N/A
