signature gene	pHMM hits	e-value	bit score	number of seeds
XP_015894046	SQHop_cyclase_C	3.5e-50	170.1	17
XP_015894046	SQHop_cyclase_N	2.4e-36	124.5	135
XP_015894047	SQHop_cyclase_C	1.4e-49	168.2	17
XP_015894047	SQHop_cyclase_N	5.7e-40	136.4	135
XP_015894042	Transferase	3.4e-45	153.7	7
XP_015894027	Transferase	4.8e-59	199.3	7
XP_015894028	Transferase	2.1e-11	42.3	7
XP_015894030	Transferase	3.4e-12	44.9	7
XP_015894412	Transferase	4.8e-84	281.7	7
XP_015894414	Transferase	7e-90	300.9	7
XP_015894428	Transferase	2.5e-10	38.7	7
XP_015894429	Transferase	2.2e-86	289.4	7
XP_015894430	Transferase	2e-18	65.5	7
XP_015894431	UDPGT_2	9.6e-84	281.1	248
XP_015894432	Transferase	2.3e-65	220.1	7
XP_015894433	UDPGT_2	9.6e-84	281.1	248
XP_015894434	Transferase	2.3e-65	220.1	7
XP_015894435	Transferase	7.6e-44	149.2	7
XP_015894436	Transferase	2.2e-49	167.5	7
XP_015894438	Transferase	3.6e-49	166.7	7
XP_015894439	Transferase	1.6e-87	293.1	7
XP_015894440	Transferase	1.9e-80	269.8	7
XP_015894441	Transferase	1.1e-73	247.5	7
XP_015894443	Transferase	1.9e-81	273.1	7
XP_015894486	Transferase	2.9e-81	272.5	7
XP_015894507	Transferase	4.7e-81	271.8	7
XP_015894444	Transferase	6.8e-42	142.8	7
XP_015894464	COesterase	1e-07	30.4	?
XP_015894491	p450	3.6e-103	345.0	50
XP_015894500	p450	8.5e-101	337.1	50
XP_015894734	p450	1.8e-101	339.4	50
XP_015894693	Transferase	1.8e-71	240.3	7
XP_015894694	Transferase	1.8e-71	240.3	7
XP_015894697	p450	1.3e-79	267.3	50
XP_015894698	UDPGT_2	1.6e-09	36.5	248
XP_015894798	BURP	4.1e-49	166.2	101
XP_015895511	Bet_v_1	4.8e-39	132.8	18
XP_015895506	Bet_v_1	5.9e-38	129.3	18
XP_015895514	NAD_binding_1	1.1e-17	63.9	?
XP_015895507	Str_synth	3.8e-26	90.2	6
